VIT_01s0011g00970.t01	GO:0043531	GO:0000166	GO:0019897	GO:0009626	GO:0005515	GO:0006952	GO:0005886																																													
VIT_01s0011g00990.t01	GO:0043531	GO:0000166	GO:0019897	GO:0009626	GO:0005515	GO:0006952	GO:0005886																																													
VIT_01s0011g01000.t01	GO:0043531	GO:0000166	GO:0019897	GO:0009626	GO:0005515	GO:0006952	GO:0005886																																													
VIT_01s0011g01020.t01	GO:0043531	GO:0000166	GO:0019897	GO:0009626	GO:0005515	GO:0006952	GO:0005886																																													
VIT_01s0011g01030.t01	GO:1902600	GO:0034220	GO:0008553	GO:0120029	GO:0005886	GO:0016887	GO:0005515	GO:0051453	GO:0016021	GO:0015662																																										
VIT_01s0011g01040.t01	GO:0043531	GO:0000166	GO:0019897	GO:0009626	GO:0005515	GO:0006952	GO:0005886																																													
VIT_01s0011g01050.t01	GO:0006896	GO:0006511	GO:0006623	GO:0061630	GO:0005802	GO:0017119	GO:0016020	GO:0005509	GO:0005768																																											
VIT_01s0011g01060.t01	GO:0016607	GO:0005730	GO:0000398	GO:0005634	GO:0003723																																															
VIT_01s0011g01080.t01	GO:0042793	GO:0009534	GO:0009658	GO:0016279	GO:0009507	GO:0018026	GO:0005515	GO:0000427	GO:0010027	GO:0042644	GO:0009416																																									
VIT_01s0011g01090.t01	GO:0003674	GO:0005739	GO:0008150																																																	
VIT_01s0011g01100.t01	GO:0031425	GO:0043231	GO:0009507	GO:0009451	GO:0008270	GO:0003723	GO:0003729																																													
VIT_01s0011g01110.t01	GO:0030151	GO:0009507	GO:0003824	GO:0030170																																																
VIT_01s0011g01120.t01	GO:0043531	GO:0005515	GO:0006952	GO:0005576																																																
VIT_01s0011g01130.t01	GO:0009507	GO:0009793	GO:0003674																																																	
VIT_01s0011g01140.t01	GO:0097638	GO:0015174	GO:0005886	GO:0015189	GO:0015171	GO:0005313	GO:0006865	GO:0005739																																												
VIT_01s0011g01150.t01	GO:0032049	GO:0051641	GO:0016024	GO:0004605	GO:0009507	GO:0005739																																														
VIT_01s0011g01160.t01	GO:0071456	GO:0005575	GO:0003674																																																	
