species	TD	non_TD	absolute_latitude	elevation	GHM	population	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	peo_bio1	peo_bio2	peo_bio3	peo_bio4	peo_bio5	peo_bio6	peo_bio7	peo_bio8	peo_bio9	peo_bio10	peo_bio11	peo_bio12	peo_bio13	peo_bio14	peo_bio15	peo_bio16	peo_bio17	peo_bio18	peo_bio19	vapr	wind	srad	npp	ALUM_SAT	BSAT	BULK	CEC_CLAY	CEC_SOIL	CLAY	CN_RATIO	COARSE	ELEC_COND	GYPSUM	ORG_CARBON	PH_WATER	REF_BULK	SAND	SILT	TCARBON_EQ	TEB	TOTAL_N	ESP	soil_phosphorus	leaf_phenology	growth_habit	height
Brachypodium_sylvaticum	5193	31734	48.72	294.83	0.51	232.04	9.63	8.01	34.28	556.88	22.52	-0.41	22.92	9.65	8.8	16.65	3.09	859.29	97.07	48.36	20.23	271.77	161.72	204.82	221.26	14.01	88.9	32.63	6557.99	147.29	-125.89	273.19	27.47	4.09	91.89	-75.6	865.66	101.33	46.54	21.61	276.69	160.98	216.52	214.58	0.96	3.59	11145.83	3.08E+11	8.58	70.51	1.4	48.99	14.66	21.56	8.92	14.67	0.94	1.6	1.36	6.08	1.62	38.56	33.97	5.02	16.31	1.03	2.86	387.86	NA	herbs	0.9
Brassica_oleracea	5684	53536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	0.619
Brassica_rapa	4714	36304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	0.6867846
Buddleja_alternifolia	6072	23362	41.31	873.44	0.66	423.6	9.02	10.02	33.27	756.78	24.54	-5.85	30.38	16.27	1.28	18.16	-0.47	619.21	97.48	22.99	55.1	263.82	76.9	245.4	89.78	12.11	112.42	31.92	8408.98	175.27	-173.79	349.05	93.21	-80.85	110.52	-103.84	591.98	98.46	22.66	57.98	258.88	75.48	242.83	86.2	0.87	2.93	12611.53	2.40E+11	5.65	61.33	1.15	44.09	10.67	15.51	6.94	12.3	0.9	1.28	0.67	5.18	1.29	33.06	27.62	5.12	14.92	0.66	2.55	364.78	NA	woody	NA
Cajanus_cajan	4306	24739	6.62	446.54	0.58	623.36	23.2	10.07	58.58	246.41	31.91	14	17.91	24.43	21.51	26.02	19.97	1407.37	269.81	25.88	77.33	696.3	98.06	402.78	209.56	200.6	116.22	59.56	2605.84	296.84	93.71	203.12	216.87	180.04	230.3	164.06	1324.02	257.02	21.91	77.96	659.46	85.9	426.27	177.41	2.08	2.23	17333.33	4.35E+11	12.65	51.23	1.16	33.22	12.56	27.42	8.22	11.56	0.64	0.65	0.84	5.01	1.52	34.37	20.44	1.59	11.43	0.69	3.15	334.61	NA	woody	3.048
Capsella_rubella	4707	22975	45.37	321.29	0.52	323.37	11.24	8.85	35.87	571.25	24.88	0.64	24.24	10.99	12.22	18.46	4.55	827.26	94.09	44.89	21.88	256.6	154.08	182.28	210.37	55.22	89.19	36.47	5429.86	180.74	-62.75	243.49	42.67	73.6	121.56	-18.11	850.55	98.37	42.16	23.01	267.61	151.8	173.93	235.29	1.03	3.31	12589.42	3.53E+11	8.07	69.03	1.35	47.73	13.74	20.31	8.71	14.27	1.02	1.73	1.14	5.99	1.56	37.32	32.95	5.31	17.01	0.91	3.05	418.63	NA	herbs	NA
Capsicum_baccatum	5637	30216	9.46	647.28	0.39	396.09	20.76	11.12	60.51	260.21	29.53	11.04	18.5	22.73	18.43	23.66	17.4	1169.79	185.14	32.5	59	497.67	117.17	401.81	159.37	170.27	121.19	60.06	2898.36	269.32	62.61	206.71	189.07	146.64	204.23	131.11	1186.33	191.03	34.19	57.72	504.04	126.17	399.87	170.34	1.81	2.32	15661.41	5.99E+11	13.67	55.22	1.23	35.75	11.93	27.53	8.56	13.1	0.72	0.76	0.83	5.43	1.61	37.99	22.19	2.21	12.57	0.73	3.8	328.39	NA	woody	NA
Carica_papaya	2659	19735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D	woody	6.096
Carpinus_fangiana	4432	22949	29.6	938.33	0.62	249.48	14.65	8.58	30.31	723.18	28.3	-0.02	28.32	21.44	6.02	23.12	5.28	1190.36	230.68	20.99	76.3	603.47	75.75	548.69	88.8	105.32	97.95	33.43	6625.11	246.49	-43.86	290.36	170.32	25.65	186.65	13.36	1078.3	228.46	15.78	79.58	577.38	62.74	526.59	78.23	1.34	1.7	12655.81	2.67E+11	15.09	45.46	1.08	31.15	9.27	18.72	6.35	11.51	0.53	0.91	0.51	4.52	1.3	28.98	25.14	3.27	9.98	0.53	2.09	383.27	NA	woody	NA
Carya_illinoinensis	4815	28657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D	woody	39.7233333
Cephalotus_follicularis	1875	34628	33.85	74.89	0.17	41.19	12.41	7.9	44.21	254.58	20.59	5.91	14.68	9.76	15.14	15.64	9.47	763.94	124.22	18.97	47.29	335.75	62.44	71.06	332.46	119.71	110.42	54.78	3209.53	232.34	31.24	201.09	92.85	157.19	162.27	80.44	907.48	151.23	19.93	61.59	423.74	71.85	77.87	401.32	1.08	4.13	14721.7	4.09E+11	16.65	45.57	1.26	39.65	8.78	13.8	12.19	14.92	0.45	0.38	0.9	4.64	1.25	53.79	15.57	0.36	6.17	0.52	3.52	334.15	NA	herbs	NA
Ceratophyllum_demersum	1557	23766	48.9	119.6	0.57	446.37	9.26	8.07	32.17	627.03	22.85	-2.07	24.92	12.05	5.22	17.04	1.71	736.46	86.8	38.95	24.16	240.94	132.49	203.72	166.37	-28.81	96.75	29.86	8447.32	129.46	-200.06	329.52	42.35	-101.01	72.24	-142.71	742.31	100.13	35.92	30.21	262.27	127.17	231.1	148.79	0.97	3.68	10663.69	2.58E+11	7.91	69.39	1.31	51.36	17.12	19.21	9.78	12.09	1.02	0.97	3.12	5.88	1.54	40.06	32.65	3.6	17.53	1.64	2.94	334.23	NA	herbs	NA
Ceratopteris_richardii	6772	30085	22.83	193.53	0.53	576.31	19.29	9.63	54.96	367.21	28.79	9.31	19.48	19.99	18.2	23.59	14.6	1453.87	220.2	46.93	43.77	580.73	169.47	359.87	322.33	144	123.67	55.6	5314.33	275	3.4	271.6	147	127.53	206.47	71.53	1317.53	204.67	42.67	50.8	541.53	156.47	355.33	283.6	1.87	2.38	15657.1	4.34E+11	9.84	40.52	0.89	24.42	8.63	19.5	5.5	6.94	0.32	0.45	0.37	3.66	1.11	23.67	16.83	1.88	8.96	0.41	1.73	422.07	NA	NA	NA
Ceriops_tagal	1661	21997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EV	woody	NA
Ceriops_zippeliana	1528	21946	3.52	46.97	0.41	1301.44	22.39	6.11	62.87	56.68	26.6	18.43	8.16	22.22	22.16	23.06	21.65	1787.64	277.28	59.92	46.26	731.78	204.75	402.72	381.17	221.08	111.44	68.78	1141.44	303.31	144.06	159.25	225.25	212.61	234.89	205.08	2021.89	365.94	57.67	57.94	831.97	214.64	618.36	353.5	2.39	1.83	14513.72	3.65E+11	13.98	51.89	1.15	34.97	13.75	27.97	9.71	11.91	1.48	0.9	1.4	4.98	1.58	37.14	21	0.96	12.17	0.84	8.37	68.98	NA	woody	NA
Chenopodium_quinoa	5416	29010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	NA
Chiococca_alba	3438	25259	7.32	435.17	0.37	277.63	21.42	9.71	61.39	172.29	28.61	13.7	14.91	22.61	20.13	23.31	19.15	1331.99	222.4	32.14	59.79	585.27	116.49	387.4	210.83	193.4	118.65	62.74	2386.82	285.92	93.59	192.33	210.69	179.04	219.65	159.66	1254.05	224.76	28.91	66.4	585.7	109.75	369.6	195.87	2.03	2.32	16092.15	5.12E+11	14.02	55.78	1.25	40.49	14.93	26.7	9.59	14.43	0.75	0.69	1.39	5.62	1.64	41.28	23.15	3.76	13.09	1.03	3.22	381.86	EV	woody	0.415625
Cicer_arietinum	3197	21765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	herbs	0.45
